,level_0,level_1,pred
0,0,0,1012.0765380859375
1,0,1,1007.4407348632812
2,0,2,1009.4929809570312
3,0,3,1006.6650390625
4,0,4,1007.9813842773438
5,0,5,1008.9246826171875
6,0,6,1005.9302368164062
7,0,7,1005.0673828125
8,0,8,1009.712890625
9,0,9,1008.691650390625
10,0,10,1008.9810791015625
11,0,11,1009.7789306640625
12,0,12,1005.3239135742188
13,0,13,1007.7275390625
14,0,14,1011.2702026367188
15,0,15,1010.0989379882812
16,0,16,1008.7122192382812
17,0,17,1009.9187622070312
18,0,18,1011.632568359375
19,0,19,1014.4521484375
20,0,20,1015.7351684570312
21,0,21,1013.8273315429688
22,0,22,1015.6323852539062
23,0,23,1016.968994140625
24,1,0,1008.3006591796875
25,1,1,1015.1369018554688
26,1,2,1013.4402465820312
27,1,3,1014.0999145507812
28,1,4,1012.9223022460938
29,1,5,1016.4679565429688
30,1,6,1012.2262573242188
31,1,7,1015.05224609375
32,1,8,1016.1336059570312
33,1,9,1013.49658203125
34,1,10,1010.6978759765625
35,1,11,1013.0086059570312
36,1,12,1014.2715454101562
37,1,13,1016.6569213867188
38,1,14,1013.835693359375
39,1,15,1011.7946166992188
40,1,16,1010.60791015625
41,1,17,1013.0889892578125
42,1,18,1012.2763671875
43,1,19,1010.9473266601562
44,1,20,1011.8193359375
45,1,21,1012.3974609375
46,1,22,1011.9617919921875
47,1,23,1010.3679809570312
48,2,0,1011.0965576171875
49,2,1,1001.8399047851562
50,2,2,1000.85546875
51,2,3,997.2459716796875
52,2,4,997.06201171875
53,2,5,990.8270874023438
54,2,6,992.3842163085938
55,2,7,1003.8943481445312
56,2,8,1003.3810424804688
57,2,9,1011.9029541015625
58,2,10,1015.05126953125
59,2,11,1009.3080444335938
60,2,12,1011.1681518554688
61,2,13,1011.7479248046875
62,2,14,995.9218139648438
63,2,15,996.7935180664062
64,2,16,1006.1651000976562
65,2,17,998.328369140625
66,2,18,985.9240112304688
67,2,19,994.7984619140625
68,2,20,998.9591064453125
69,2,21,991.5980224609375
70,2,22,1001.5046997070312
71,2,23,1005.0779418945312
72,3,0,1011.021484375
73,3,1,1002.0933227539062
74,3,2,1012.166015625
75,3,3,999.9581298828125
76,3,4,1005.5586547851562
77,3,5,1003.2681884765625
78,3,6,1006.0902099609375
79,3,7,1006.2618408203125
80,3,8,1009.1963500976562
81,3,9,1010.3284301757812
82,3,10,1008.607177734375
83,3,11,1012.8871459960938
84,3,12,1010.0405883789062
85,3,13,1004.4667358398438
86,3,14,1012.642578125
87,3,15,1013.6640625
88,3,16,1012.2816772460938
89,3,17,1012.9456176757812
90,3,18,1015.63134765625
91,3,19,1008.0203857421875
92,3,20,1004.2114868164062
93,3,21,1006.7303466796875
94,3,22,1020.45703125
95,3,23,1010.8175048828125
