,level_0,level_1,pred
0,0,0,6.480564117431641
1,0,1,7.35782527923584
2,0,2,8.557221412658691
3,0,3,8.622865676879883
4,0,4,7.641620635986328
5,0,5,7.450212001800537
6,0,6,7.185145854949951
7,0,7,6.788506031036377
8,0,8,7.553688049316406
9,0,9,6.966773509979248
10,0,10,6.591800212860107
11,0,11,7.247770309448242
12,0,12,7.411642551422119
13,0,13,7.461726188659668
14,0,14,7.071361541748047
15,0,15,6.852478504180908
16,0,16,6.549174785614014
17,0,17,5.769288539886475
18,0,18,5.1216139793396
19,0,19,5.056676864624023
20,0,20,4.447490692138672
21,0,21,3.5398571491241455
22,0,22,4.1717939376831055
23,0,23,4.5544562339782715
24,1,0,4.62662935256958
25,1,1,3.5073325634002686
26,1,2,2.2625441551208496
27,1,3,1.5570255517959595
28,1,4,2.4160947799682617
29,1,5,2.274662971496582
30,1,6,2.3273894786834717
31,1,7,2.062932252883911
32,1,8,4.230823516845703
33,1,9,4.350809097290039
34,1,10,4.525306224822998
35,1,11,5.309067249298096
36,1,12,6.2252583503723145
37,1,13,7.156251907348633
38,1,14,6.408677577972412
39,1,15,6.367024898529053
40,1,16,4.990979194641113
41,1,17,5.763768196105957
42,1,18,5.283059120178223
43,1,19,5.437896251678467
44,1,20,4.812968730926514
45,1,21,3.5366270542144775
46,1,22,4.649290561676025
47,1,23,4.763372898101807
48,2,0,4.686246871948242
49,2,1,4.082886219024658
50,2,2,5.035651683807373
51,2,3,5.1341118812561035
52,2,4,4.243707180023193
53,2,5,5.031697750091553
54,2,6,6.740392208099365
55,2,7,7.161588191986084
56,2,8,6.459408283233643
57,2,9,5.462517738342285
58,2,10,6.384938716888428
59,2,11,6.054397106170654
60,2,12,6.639048099517822
61,2,13,6.587043285369873
62,2,14,5.442622661590576
63,2,15,5.202991485595703
64,2,16,5.120622634887695
65,2,17,5.322455883026123
66,2,18,5.084007263183594
67,2,19,4.934003829956055
68,2,20,5.091814041137695
69,2,21,5.476006507873535
70,2,22,6.63689661026001
71,2,23,6.913952350616455
72,3,0,6.219655990600586
73,3,1,6.377846717834473
74,3,2,6.435323238372803
75,3,3,5.749232769012451
76,3,4,6.169041156768799
77,3,5,5.416102886199951
78,3,6,5.703998565673828
79,3,7,6.143798351287842
80,3,8,5.436689376831055
81,3,9,5.730737209320068
82,3,10,5.559610366821289
83,3,11,6.5887346267700195
84,3,12,6.3543243408203125
85,3,13,6.0004072189331055
86,3,14,6.85895299911499
87,3,15,6.717597484588623
88,3,16,6.025511741638184
89,3,17,6.00246000289917
90,3,18,5.52805233001709
91,3,19,5.674262523651123
92,3,20,5.281923770904541
93,3,21,6.185798168182373
94,3,22,6.559694290161133
95,3,23,6.940696716308594
96,4,0,7.052389144897461
97,4,1,7.285409927368164
98,4,2,6.883418560028076
99,4,3,6.744797229766846
100,4,4,6.834362030029297
101,4,5,5.640598773956299
102,4,6,5.232945442199707
103,4,7,6.070664882659912
104,4,8,5.720308780670166
105,4,9,6.078144073486328
106,4,10,5.372219085693359
107,4,11,5.769367218017578
108,4,12,5.58284330368042
109,4,13,5.546560287475586
110,4,14,6.1937575340271
111,4,15,6.214568138122559
112,4,16,5.995795249938965
113,4,17,4.411168098449707
114,4,18,4.3105363845825195
115,4,19,4.22822380065918
116,4,20,3.904275894165039
117,4,21,4.481936931610107
118,4,22,4.168330669403076
119,4,23,3.737096071243286
120,5,0,3.804076910018921
121,5,1,3.628702402114868
122,5,2,3.4591293334960938
123,5,3,3.995119094848633
124,5,4,4.176261901855469
125,5,5,4.103060722351074
126,5,6,4.8855881690979
127,5,7,4.919223785400391
128,5,8,4.773281097412109
129,5,9,5.256134033203125
130,5,10,5.027148723602295
131,5,11,5.037171840667725
132,5,12,5.391583442687988
133,5,13,6.239597797393799
134,5,14,5.902212142944336
135,5,15,5.514026165008545
136,5,16,5.275928497314453
137,5,17,4.971008777618408
138,5,18,4.7745161056518555
139,5,19,4.839797019958496
140,5,20,4.386176109313965
141,5,21,3.9500274658203125
142,5,22,4.082239151000977
143,5,23,4.001614093780518
144,6,0,3.5111935138702393
145,6,1,1.21834397315979
146,6,2,0.554858386516571
147,6,3,-0.07548302412033081
148,6,4,-0.06113791465759277
149,6,5,0.058003365993499756
150,6,6,-0.039116621017456055
151,6,7,0.0721258819103241
152,6,8,-1.2181260585784912
153,6,9,-1.0571444034576416
154,6,10,-0.17208576202392578
155,6,11,0.27873170375823975
156,6,12,0.31024524569511414
157,6,13,-0.07755941152572632
158,6,14,0.48035579919815063
159,6,15,0.14186635613441467
160,6,16,-0.4355272054672241
161,6,17,-3.6065735816955566
162,6,18,-1.7313847541809082
163,6,19,-2.584197521209717
164,6,20,-3.538619041442871
165,6,21,-6.80383825302124
166,6,22,-9.766207695007324
167,6,23,-7.39826774597168
168,7,0,-5.25548791885376
169,7,1,-7.032617092132568
170,7,2,-4.903007984161377
171,7,3,-6.011430740356445
172,7,4,-6.7956695556640625
173,7,5,-5.711221694946289
