,level_0,level_1,pred
0,0,0,7.640902519226074
1,0,1,8.136919021606445
2,0,2,6.995756149291992
3,0,3,6.4116387367248535
4,0,4,6.601229667663574
5,0,5,8.160722732543945
6,0,6,8.311799049377441
7,0,7,7.078229904174805
8,0,8,7.560093402862549
9,0,9,7.326757907867432
10,0,10,7.546768665313721
11,0,11,8.002164840698242
12,0,12,8.28193473815918
13,0,13,9.474329948425293
14,0,14,8.40207290649414
15,0,15,8.338357925415039
16,0,16,7.291767120361328
17,0,17,7.021896839141846
18,0,18,6.966373443603516
19,0,19,6.793882369995117
20,0,20,6.506213665008545
21,0,21,5.370480537414551
22,0,22,5.603928565979004
23,0,23,6.454326629638672
24,1,0,4.612338066101074
25,1,1,4.089629650115967
26,1,2,3.1042892932891846
27,1,3,3.7639307975769043
28,1,4,4.980681419372559
29,1,5,4.344141483306885
30,1,6,4.847635269165039
31,1,7,5.008750915527344
32,1,8,5.232276439666748
33,1,9,3.9726943969726562
34,1,10,5.113585472106934
35,1,11,5.764346122741699
36,1,12,6.243329048156738
37,1,13,6.490165710449219
38,1,14,4.921632766723633
39,1,15,6.219649314880371
40,1,16,5.5570549964904785
41,1,17,6.588540554046631
42,1,18,6.692154407501221
43,1,19,6.492289066314697
44,1,20,6.690626621246338
45,1,21,5.7267255783081055
46,1,22,4.391938209533691
47,1,23,5.167037010192871
48,2,0,4.75231409072876
49,2,1,4.7179365158081055
50,2,2,5.180500507354736
51,2,3,5.08500862121582
52,2,4,5.68368673324585
53,2,5,5.608572006225586
54,2,6,7.287734508514404
55,2,7,7.086623668670654
56,2,8,7.166404724121094
57,2,9,6.486473560333252
58,2,10,7.417919635772705
59,2,11,9.108429908752441
60,2,12,10.368894577026367
61,2,13,10.964543342590332
62,2,14,7.613279819488525
63,2,15,7.312410831451416
64,2,16,10.354337692260742
65,2,17,9.389935493469238
66,2,18,9.270431518554688
67,2,19,9.137661933898926
68,2,20,8.116243362426758
69,2,21,9.65202808380127
70,2,22,11.584803581237793
71,2,23,11.7361478805542
72,3,0,10.683819770812988
73,3,1,9.958951950073242
74,3,2,8.689396858215332
75,3,3,6.798837661743164
76,3,4,6.144378662109375
77,3,5,7.971808433532715
78,3,6,5.873232364654541
79,3,7,5.039566993713379
80,3,8,5.972358703613281
81,3,9,5.873678207397461
82,3,10,6.066438674926758
83,3,11,5.718358039855957
84,3,12,7.230560779571533
85,3,13,6.932714939117432
86,3,14,5.719786167144775
87,3,15,6.017417907714844
88,3,16,5.82538366317749
89,3,17,4.281754970550537
90,3,18,6.897183418273926
91,3,19,6.450695037841797
92,3,20,6.796009063720703
93,3,21,6.48869514465332
94,3,22,8.123010635375977
95,3,23,8.012042999267578
96,4,0,7.9183030128479
97,4,1,10.87163257598877
98,4,2,10.396929740905762
99,4,3,9.718825340270996
100,4,4,9.195205688476562
101,4,5,8.609460830688477
102,4,6,8.410261154174805
103,4,7,7.948822975158691
104,4,8,7.287299633026123
105,4,9,7.720850944519043
106,4,10,8.487051010131836
107,4,11,8.210033416748047
108,4,12,7.332767009735107
109,4,13,5.323615074157715
110,4,14,5.226612567901611
111,4,15,5.278512477874756
112,4,16,4.839420795440674
113,4,17,5.605342388153076
114,4,18,4.7880754470825195
115,4,19,4.968441486358643
116,4,20,3.248039484024048
117,4,21,3.8197133541107178
118,4,22,3.4110376834869385
119,4,23,3.7813374996185303
120,5,0,3.5115766525268555
121,5,1,2.430844783782959
122,5,2,2.573058843612671
123,5,3,4.969888210296631
124,5,4,3.5977346897125244
125,5,5,4.355093955993652
126,5,6,5.172426223754883
127,5,7,5.580499649047852
128,5,8,6.543375015258789
129,5,9,6.916296005249023
130,5,10,6.396139144897461
131,5,11,6.80111026763916
132,5,12,4.218208312988281
133,5,13,5.286311626434326
134,5,14,6.7278242111206055
135,5,15,3.113661050796509
136,5,16,3.613831043243408
137,5,17,3.5922911167144775
138,5,18,3.324519157409668
139,5,19,3.8212807178497314
140,5,20,3.6768546104431152
141,5,21,2.6597659587860107
142,5,22,4.236095428466797
143,5,23,3.4469008445739746
144,6,0,3.891397714614868
145,6,1,2.4080348014831543
146,6,2,4.056257247924805
147,6,3,4.222367763519287
148,6,4,4.073284149169922
149,6,5,3.483973979949951
150,6,6,3.455746650695801
151,6,7,3.9172427654266357
152,6,8,3.410883665084839
153,6,9,3.511368751525879
154,6,10,3.308082103729248
155,6,11,4.166998863220215
156,6,12,4.515315055847168
157,6,13,5.1665802001953125
158,6,14,3.9550063610076904
159,6,15,3.1516571044921875
160,6,16,2.903118848800659
161,6,17,2.4373490810394287
162,6,18,2.1803669929504395
163,6,19,1.90884268283844
164,6,20,3.1788511276245117
165,6,21,3.1577765941619873
166,6,22,3.0737104415893555
167,6,23,3.0863497257232666
168,7,0,2.634216785430908
169,7,1,3.088534355163574
170,7,2,3.099792003631592
171,7,3,2.799757242202759
172,7,4,2.3218235969543457
173,7,5,2.445131540298462
174,7,6,2.8308680057525635
175,7,7,2.4237403869628906
176,7,8,2.8078207969665527
177,7,9,3.3952414989471436
178,7,10,3.739315986633301
179,7,11,4.112809181213379
180,7,12,4.791180610656738
181,7,13,5.490263938903809
182,7,14,4.75593900680542
183,7,15,4.207393646240234
184,7,16,4.338435173034668
185,7,17,4.211487293243408
186,7,18,3.60807204246521
187,7,19,4.285139083862305
188,7,20,4.233362197875977
189,7,21,5.543475151062012
190,7,22,5.296291828155518
191,7,23,5.0014729499816895
192,8,0,5.108827114105225
193,8,1,5.597132682800293
194,8,2,6.312180042266846
195,8,3,6.30328369140625
196,8,4,5.31897497177124
197,8,5,4.659040927886963
198,8,6,4.7539753913879395
199,8,7,5.105381965637207
